,Paragraph,T_Cosine,Goal,Target,PText,TargetText
343,390,0.130393306,4,4.1,"Relevance and Quality of Education: In spite of the significant progress made with  regard to providing access to education, the quality of education is an issue of  growing concern to parents and policy makers. Judging solely by improvements  in efficiency indicators such as drop out rates, repetition rates, completion rates  and survival rates, the quality of education has certainly improved over the years,  although some of these rates, such as repetition and dropout rates in class IV and  VII, are still undesirably high and need further improvement","By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes "
344,390,0.130393306,4,4.1,"Relevance and Quality of Education: In spite of the significant progress made with  regard to providing access to education, the quality of education is an issue of  growing concern to parents and policy makers. Judging solely by improvements  in efficiency indicators such as drop out rates, repetition rates, completion rates  and survival rates, the quality of education has certainly improved over the years,  although some of these rates, such as repetition and dropout rates in class IV and  VII, are still undesirably high and need further improvement","By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States"
345,391,0.094206615,4,4.3,"However, what remains of great concern is that an increasing numbers of our  students, including graduates from vocational and tertiary institutions, are  inadequately prepared to enter the workforce. On the other hand Bhutan continues  to face an acute shortage of skilled and highly specialized manpower such as  doctors, engineers, ICT experts and teachers. This has resulted in a paradoxical  situation of relatively high levels of youth unemployment and a critical skills  shortage at the same time. Furthermore, the rapid socio economic development  and transformative changes that have been taking place, both domestically and  globally, require higher standards in education at a scale that has never been met  or required before. The fact that most of our students are unable to meet the  admission criteria of top tier tertiary education institutions abroad, particularly  for professional courses, is but one testament of the poor learning outcomes  of our education not being commensurate to the requirements of youth today.  This calls for building on our strong foundations an education system that is not  only free but is of such quality that it provides the knowledge, skills and attitude  to allow our people to tap their full potential and succeed. Given that today the  largest section of our population are youth our window of opportunity is small and  therefore improving the quality of education is urgent. Of particular concern in      Eleventh Five Year Plan   Main Document Volume I  the outcome of education, which is highly relevant to achieving our Plan objective,  is weak student performance in the foundational subjects. In all the countries  that have succeeded in the economic areas we strive to develop, the competitive  advantage of their education system has been a high level of performance in math  and science. In our case, most students perform poorly in math and science, and  have similar weaknesses even in English despite it being the medium of instruction  for most subjects at all levels in school and higher education","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university "
346,392,0.052939306,14,14.8,"According to Royal Education Council’s (REC) research study on the quality of education,  the overall trend indicates that there is a big gap between the current and the desired  state in the quality of outcomes and processes. Some of the key deficiencies in the  quality of learning outcomes and processes highlighted in the report include:  • The overall level of performance of students is just above passing grades; • Graduates lack basic analytical and communication skills and the attitudes  needed as entry level professions; • Teaching consists of one way teacher led chalk and talk without being able  to get the students to comprehend and demonstrate learning; • Assessment in the classroom does not close the loop between what is  taught and what students learn; • Low academic and professional standards for entry into teaching profession; • Schools lack quality processes for developing teachers’ capacity, the  autonomy and instructional resources to initiate academic improvement  and the essential physical infrastructure to support learning; • No clear link between the stated national socio economic goals and the  goals of the education system;  • The supporting systems for schools need a great degree of strengthening in  the areas of teacher preparation, curriculum standards and resources and  the incentives for quality","Increase scientific knowledge, develop research capacity and transfer marine technology, taking into account the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology, in order to improve ocean health and to enhance the contribution of marine biodiversity to the development of developing countries, in particular small island developing States and least developed countries "
347,393,0.050679226,4,4.8," The report underscored three critical reasons for the persistence of ineffective  classroom practices across schools: namely under prepared teachers, lack of  appropriate curricular resources, and poor instructional leadership and in  service training. The study recommended a thoughtfully designed and carefully   05  CENTRAL PLAN     Eleventh Five Year Plan   Main Document Volume I  implemented comprehensive reform effort to bridge the gap between the  current set of challenges facing our school system and the high aspirations it  holds. Various other studies/reports also suggest that education infrastructure  facilities alone are not sufficient to improve education outcomes but adequate,  motivated and appropriately qualified teachers play a critical role in ensuring  quality education. However, our education system continues to be constrained by  an acute shortage of teachers and limited capacities. Teaching, today, is the least  preferred profession among graduates, and attracting high performing graduates  to join teaching is increasingly a major challenge. Some of the reasons for this  include lack of incentives, both financial and non financial incentives, perceived  poor career progression and limitations in the recruitment process. During the  Tenth Plan, initiatives to strengthen human resource policy to provide better career  progression for teachers were implemented. However, the proposed teacher  incentives remains unimplemented due to resource constraints","Build and upgrade education facilities that are child, disability and gender sensitive and provide safe, non-violent, inclusive and effective learning environments for all "
348,394,0.180175138,4,4.1,"The TVET and tertiary education systems are also faced with a similar set of  challenges on the issue of relevance and quality of education. Furthermore, current  projections indicate that about 60,000 students would be completing classes 10  and 12 and entering the labour market over the Eleventh Plan. If we are to close  the “education to employment” gap, it is vital to ensure that the TVET and tertiary  education institutes have the intake capacity to provide relevant and quality post  secondary education and training to ensure their employability","By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes "
349,394,0.180175138,4,4.1,"The TVET and tertiary education systems are also faced with a similar set of  challenges on the issue of relevance and quality of education. Furthermore, current  projections indicate that about 60,000 students would be completing classes 10  and 12 and entering the labour market over the Eleventh Plan. If we are to close  the “education to employment” gap, it is vital to ensure that the TVET and tertiary  education institutes have the intake capacity to provide relevant and quality post  secondary education and training to ensure their employability","By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States"
350,395,0.067349875,8,8.11,"According to REC Report 2008, an independent assessment of the TVET system  indicates that the content standards of programmes are not reflective of industry  standards or requirements; students are inadequately trained upon graduation;  the training institutes are under resourced and faculty under qualified; and there  is a significant “education to employment gap” as students do not necessarily  follow into the trade for which they have been trained however inadequately","Increase Aid for Trade support for developing countries, in particular least developed countries, including through the Enhanced Integrated Framework for Trade-Related Technical Assistance to Least Developed Countries "
351,396,0.098092304,4,4.1,There is a widely shared view on the need for the TVET institutes and colleges of  RUB to be consolidated along a single campus and multi disciplinary model if we  are to ensure relevance and quality in our TVET and tertiary education system,"By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes "
352,396,0.098092304,4,4.1,There is a widely shared view on the need for the TVET institutes and colleges of  RUB to be consolidated along a single campus and multi disciplinary model if we  are to ensure relevance and quality in our TVET and tertiary education system,"By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States"
353,397,0.044435544,4,4.9,"Sustainability: The share of education sector budget to the five year plan outlays  has averaged around 11 percent over the last ten five year plans, with allocation  increasing from Nu. 9.4 million during the 1st Plan (1961 1966) to Nu. 10.3 billion in  the 10th Plan (2008 13), of which Nu. 875 million was for current expenditure and      Eleventh Five Year Plan   Main Document Volume I  Nu. 9,489 million for capital expenditure in the Tenth Plan. The expenditure in the  education sector is expected to further increase in coming years particularly with  increasing cost of maintenance of past infrastructure investments and additional  capital investments to absorb the increasing enrollment pressure at various levels.  In addition, with the phasing out of WFP’s assistance after 2018, the government will  need to take over the school feeding programme. The school feeding programme  has been one of the important factors contributing to the better enrollment rates","By 2020, substantially expand globally the number of scholarships available to developing countries, in particular least developed countries, small island developing States and African countries, for enrolment in higher education, including vocational training and information and communications technology, technical, engineering and scientific programmes, in developed countries and other developing countries "
354,398,0.10990572,4,4.7,"5.1.3 Sector Key Result Areas  The sector key result areas and key performance indicators for TVET and Education  sector are as follows:  Table 5.1.4 – TVET Sector Key Result Areas and Key Performance Indicators   Sector Key Result Areas Key Performance Indicators BaselineTargetTVET graduates employed in four months60 70%90% Competency based TVET curricula developed based on NOSS25%30  Ratio of local worker to foreign worker reduced1 to 81 to 6Improved performance of the instructors N/ATBDEnvironment friendly practices  incorporated into TVET  curriculum (MoLHR)  Environment friendly practices incorporated into TVET  curriculum (MoLHR)  N/A100% TAT for public services reducedNA70% Implementation of National Anticorruption Strategy100% Improved Average performance rating SystemNA>90% Foreign Labour management service TAT NA70% Enhance effectiveness and  efficiency in delivery of public  serviceEmplyoment   SKRAs/KPIs  Key Objective  Improve Quality and Relevance of Technical and Vocational Education and TrainingQuality and Relevance of TVET  improved  05  CENTRAL PLAN     Eleventh Five Year Plan   Main Document Volume I  Table 5.1.5 – Education Sector Key Result Areas and Key Performance Indicators  GNH Pillars Sector Key Result Areas Key Performance Indicators BaselineTargetAdult literacy rate improvedAdult literacy rate 15 years + (UNESCO Definition)55 (2013   AES)70%  M/F% of teachers satisfied with teaching profession68.3 % (2013)85% INSET Master plan implementedINSET Master Plan  developedINSET Master plan  implemented% of teachers who have availed at least one NBIP in the 11th FYPNA100% Survival rates (to class VI) 98.3 (96.2 m: 99.2 f) AES  2012M/F 100% Survival rates (to class X) 85.1 (83.8 m: 85.4 f) AES  2012M/F 90% Completion rates (primary)117%100% Completion rates (secondary)74%95% Transition rates from primary to secondary 98 (97 m: 100 f) AES 2012M/F 100% Class III: Eng: 60Math: 61.5Dzongkha: 63.5EVS: 65All subjects: > 65% Class VI: Eng: 48.3Math: 46.1Dzongkha: 60Science: 43.7  Other subjects: 60% Dzongkha: 70% Class X: Eng: 54.11Math: 51.93Dzongkha: 67.03Science: 50.26(PMS 2012) Other subjects: 60% Dzongkha: 70% Adjusted Primary Net Enrolment Ratio (6 12 yrs old) APNER = 98% (M 97% &  F98%) NER 96% (M95  &F96) APNER 100%; NER  98% Basic Net Enrolment Ratio (13 16yrs old) 94% (Female 96% & Male  93%) AES 201296% (male/female) Ratio of females to males in tertiary education71% (AES 2012)90% EDUCATION SECTOR   SKRAs/KPIs  Key Objectives   i) Ensure quality of education service delivery and facilitate development of Bhutan as a knowledge based society, ii) Ensure education sustainability and iii)  Achieving MDG plus. Teacher performance outcome  improvedMDGs+ Achieved. Sustainable and  Equitable Socio  Economic DevelopmentLearning Outcomes Scores in Math, English, Dzongkha and  Science in class III, VI, X (m/f) Students performance outcome  improvedEnvironment education enhanced in  schools  Percent of schools practicing green initiativesN/A100% Eco efficient & disaster resilient  infrastructure developed’New school constructions are eco  efficient/disaster resilient  infrastructure  N/A100% School education expenditure as a % of GDP6.9 % (2012)6.90% Tertiary education expenditure as a % of GDP 1.90%1.90% % of self financed students in tertiary education 12% (m/f)30 % (m/f) Improved student discipline and  conduct  Average of disciplinary incidences in schools  N/A Reduced by 50% TAT for common availed services N/A< 70% Anti corruption strategy implementedImplementedAverage performance rating (Govt. Performance Management  System   GPMS)N/A>90 % Strengthening Good  GovernanceConservation &  Sustainable Utilization  and Management of  Environment  Enhanced efficiency and effectiveness  in public service deliveryEducation sustainability ensured  GER at tertiary level (19 21 years) both within and outside  Bhutan18% (21% m; 15% f) AES  201235% Percent of students below accepted nutritional level (height for  age)  33.5%< 30 % Attendance rate90%90% Schools/Institutes with sporting calendar/sporting event NA100% % of schools above 70 on GNH index94%100% MDGs+ Achieved. Health, Wellbeing and Protection of  school children improvedKnowledge on Culture, traditional  values enhanced  Preservation and  Promotion of CultureSustainable and  Equitable Socio  Economic Development  Preservation and   Promotion of Culture  Knowledge on Culture, traditional  values enhanced  Students scoring greater than 60% in Dzongkha (in grades X  and XII)  23%  50%  % of students who can perform traditional dance/songs (M/F)  NA  70%         Eleventh Five Year Plan   Main Document Volume I  5.1.4 Strategies  Any strategy to strengthen our education system and institutions to the level  required to bring about the transformation in our socio economic development  process must ensure that we take a comprehensive stock of the state of our  entire education system (spanning school, TVET, higher education, and continuing  education) as an integrated whole rather than disparate parts (including regular  assessment and diagnostics of student performance and identify the root causes  of the mismatch between educational outcomes and our developmental needs);  establish clear quality criteria in terms of the desired outcomes that are responsive  to the changing expectations of students and are regularly benchmarked to global  standards (such as student outcomes and employment, instructional methods,  and organizational dynamism); understand the capacity gaps in achieving those  criteria; provide a collaborative and highly competent institutional support system  that focuses on helping students, teachers and school leaders develop research  based innovative strategies of implementation to achieve the desired outcomes  and; disseminate those evidence based effective strategies throughout the system.  This calls for a sustained systemic strategy rather than disparate interventions  to address challenges in isolation. The planning and implementation of such an  education strategy certainly requires a longer term perspective of more than five  years. The experience of top performing education systems like in Finland and  Singapore suggest a gestation of at least 20 years. Most importantly, the strategy  must be supported with adequate and predictable resources and the necessary  institutional and policy support systems","By 2030, ensure that all learners acquire the knowledge and skills needed to promote sustainable development, including, among others, through education for sustainable development and sustainable lifestyles, human rights, gender equality, promotion of a culture of peace and non-violence, global citizenship and appreciation of cultural diversity and of culture’s contribution to sustainable development "
355,399,0.048168896,13,13.3,"Some of the elements of the strategy for improved outcomes of the education  sector, relevant to the school, TVET and tertiary education systems, include:  • Clarifying goals and raising performance standards for schools through shared  national education goals that are aligned with the national socio economic  goals; learning standards and quality teaching processes; • Curriculum improvements to deliver educational goals with greater involvement  of principals and teachers in curriculum design and communication and training  on improved curriculum;  • Attracting the best talent into teaching by recruiting the most capable  candidates into teaching and preparing them for effective classroom practice; • Giving teachers the skills and tools to raise the quality of classroom instruction    05  CENTRAL PLAN     Eleventh Five Year Plan   Main Document Volume I  through continuous professional development and structured teaching  learning resources; • Developing Principals to become Instructional Leaders – through leadership  training, professional support and instructional improvement processes; • Enabling the capacity of schools to focus on learning and teaching through  policies to promote autonomy, accountability, incentives and improving the  quality of instructional tools and infrastructure facilities to support learning; • Maintain relentless focus on implementation – demonstrate real changes in  school, manage change and build institutional capacity to execute reforms; • Ensuring students grasp basic academic concepts, acquire essentials life skills  and are fully equipped for college and professional life; • The possible introduction of a vouchers scheme for meeting the targets for  tertiary enrolment that will also encourage private participation in this sector","Improve education, awareness-raising and human and institutional capacity on climate change mitigation, adaptation, impact reduction and early warning "
356,400,0.028893425,9,9.7," Targeted intervention programmes: Targeted intervention programmes will be  developed to address disparities. The focus will be on Dzongkhags with education  indicators below the national average and hard to reach communities, children  in remote areas, nomadic communities etc. Targeted programmes will include  activities like additional infrastructure facilities, improved teacher deployment,  special incentive packages and in certain situation where cost of service delivery is  very high it could include relocation of students to nearby schools with boarding  facilities","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities "
357,401,0.036473346,9,9.3,"Rationalization of schools: In pursuit of improving access, past Plans focused on  extensive education infrastructure expansion program resulting in 553 schools and  112 Extended Classrooms (ECRs) for about 180,000 school children. While facilitating  access and enhancing enrolment, this strategy has led to other challenges. The  deployment of teachers continues to be a major issue due to the remote and  difficult location of these extremely small schools. Due to lack of economies of  scale the difficulty of providing appropriate and adequate infrastructure facilities  and resources results in multi grade teaching learning situations which ultimately  compromise the overall quality of education","Increase the access of small-scale industrial and other enterprises, in particular in developing countries, to financial services, including affordable credit, and their integration into value chains and markets "
358,403,0.134312178,14,14.1,"   Eleventh Five Year Plan   Main Document Volume I  The Plan will also ensure sustainability of education service delivery by making efficient  and effective use of available resources through the rationalization process keeping in  mind the ground realities facing each Dzongkhag, Gewog and school","By 2025, prevent and significantly reduce marine pollution of all kinds, in particular from land-based activities, including marine debris and nutrient pollution "
359,403,0.134312178,14,14.1,"   Eleventh Five Year Plan   Main Document Volume I  The Plan will also ensure sustainability of education service delivery by making efficient  and effective use of available resources through the rationalization process keeping in  mind the ground realities facing each Dzongkhag, Gewog and school","Enhance the conservation and sustainable use of oceans and their resources by implementing international law as reflected in UNCLOS, which provides the legal framework for the conservation and sustainable use of oceans and their resources, as recalled in paragraph 158 of The Future We Want"
360,404,0.029090549,7,7.2,"The approach would be to downgrade unsustainable primary schools with  enrolment of less than 100 students which do not have scope for future increase in  enrolment to extended classrooms (ECRs). Currently, there are approximately 270  primary schools with enrolment of less than 100 children. With rationalization, all  the primary schools would be developed to ensure that they are adequately and  appropriately staffed and resourced, and the children have access to an appropriate  and conducive teaching learning environment. Similarly, the downgraded schools  or ECRs would be developed to ensure quality learning for the remaining students,  and the additional teachers made available as a result of the rationalization would  be redeployed by the Dzongkhag to the schools which face teacher shortage","By 2030, increase substantially the share of renewable energy in the global energy mix "
361,405,0.068039616,4,4.1,"Professional Development for Teachers: Towards enhancing teacher morale and  motivation and improving the quality of the teaching profession, Teacher Human  Resource Policies and the In Service Teacher Education and Training (INSET) Masterplan  have been drawn up for implementation. The Ministry of Education in collaboration  with Royal Education Council will focus on promoting innovation, creativity and  enterprise in education through implementation of research recommendations","By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes "
362,405,0.068039616,4,4.1,"Professional Development for Teachers: Towards enhancing teacher morale and  motivation and improving the quality of the teaching profession, Teacher Human  Resource Policies and the In Service Teacher Education and Training (INSET) Masterplan  have been drawn up for implementation. The Ministry of Education in collaboration  with Royal Education Council will focus on promoting innovation, creativity and  enterprise in education through implementation of research recommendations","By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States"
363,406,0.027512895,4,4.3,"Improved service delivery and private participation: To ensure sustainability,  school administration and governance system will be strengthened and private  participation actively pursued. Tracking school rankings, teacher outcomes and  improving public service delivery will enhanced through Performance Management  Systems (PMS). Private participation and schemes to encourage self financed  students particularly in tertiary education will be developed","By 2030, ensure equal access for all women and men to affordable and quality technical, vocational and tertiary education, including university "
364,407,0.091297139,4,4.1,"5.1.5 Key Programmes   Some of the key programmes for the Eleventh Plan:  Education  i) Construction of new schools based on need to increase space especially at the  secondary levels;  ii) Provision of minimum standard facilities, wherever required, to ensure a    05  CENTRAL PLAN     Eleventh Five Year Plan   Main Document Volume I  positive environment for teaching learning process. These include facilities  such as science labs, libraries, games and sports facilities, computers, ICT  infrastructure, etc ; iii) Consolidation of schools through provision of additional facilities such as  hostels, kitchen and store, warden/matron quarters, toilet facilities, water  supply, dining hall, etc. in nearby schools and rationalizing smaller schools; iv) Provision of staff quarters/allowances especially in remote and rural areas to make  rural posting attractive and improve quality of education in the remote locations; v) Addressing gender gaps at higher secondary level through provision of gender  responsive facilities such as hostels and hostel toilets for girls’ toilets and  housing for female teachers;  vi) Strengthening curriculum research and development and finding mechanisms  to enhance efficiency, accountability and retain specialized skills; vii) Enhance capacity of tertiary education to achieve GER at tertiary education of  35 percent by 2017 18;  viii) Enhance quality and relevance of tertiary education programmes to meet the  needs of individuals as well as the industry and society at large","By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes "
365,407,0.091297139,4,4.1,"5.1.5 Key Programmes   Some of the key programmes for the Eleventh Plan:  Education  i) Construction of new schools based on need to increase space especially at the  secondary levels;  ii) Provision of minimum standard facilities, wherever required, to ensure a    05  CENTRAL PLAN     Eleventh Five Year Plan   Main Document Volume I  positive environment for teaching learning process. These include facilities  such as science labs, libraries, games and sports facilities, computers, ICT  infrastructure, etc ; iii) Consolidation of schools through provision of additional facilities such as  hostels, kitchen and store, warden/matron quarters, toilet facilities, water  supply, dining hall, etc. in nearby schools and rationalizing smaller schools; iv) Provision of staff quarters/allowances especially in remote and rural areas to make  rural posting attractive and improve quality of education in the remote locations; v) Addressing gender gaps at higher secondary level through provision of gender  responsive facilities such as hostels and hostel toilets for girls’ toilets and  housing for female teachers;  vi) Strengthening curriculum research and development and finding mechanisms  to enhance efficiency, accountability and retain specialized skills; vii) Enhance capacity of tertiary education to achieve GER at tertiary education of  35 percent by 2017 18;  viii) Enhance quality and relevance of tertiary education programmes to meet the  needs of individuals as well as the industry and society at large","By 2030, substantially increase the supply of qualified teachers, including through international cooperation for teacher training in developing countries, especially least developed countries and small island developing States"
366,408,0.062787907,9,9.7," TVET  i) Improve quality of TVET/VTI – infrastructure expansion, program diversification  and curriculum improvement in close collaboration with the industries and  private sector; and improving capacity of the instructors","Support domestic technology development, research and innovation in developing countries, including by ensuring a conducive policy environment for, inter alia, industrial diversification and value addition to commodities "
367,410,0.106465948,3,3.8,"   Eleventh Five Year Plan   Main Document Volume I   5.2 Health Sector  All Bhutanese avail free health services from primary to tertiary level health care  as a right guaranteed by the Constitution of Bhutan under its Principles of State  Policy, Article 9, Section 21, which states that: “the State shall provide free access  to basic public health services in both modern and traditional medicines.” Health  is also an important component for happiness and wellbeing. The 2010 GNH  Survey reports that health domain contributed 14 percent to GNH, the highest  contribution among the nine domains","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all "
368,411,0.138420385,3,3.8,"While provision of health care services is the responsibility of the Health Sector,  the need to involve other sectors in addressing health issues is equally important.  Adoption of the “GNH Policy Screening Tool”31 which has health as one of the  variables for policy screening has facilitated in mainstreaming health","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all "
369,412,0.258583797,3,3.8,"In the Eleventh Plan, the Ministry of Health shall strive towards achieving universal  health coverage by focusing on providing improved and equitable access to quality  health care services. Continued efforts shall be made in achieving goals and targets  beyond MDGs. Investments will also be made in working towards fulfilling the global  monitoring framework for prevention of non communicable diseases (NCDs)","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all "
370,413,0.083499961,3,3.13,5.2.1 Current Situation  Considerable progress has been made in developing the capacity of the health  system and it has resulted in significant improvements in health outcomes,"Strengthen the capacity of all countries, in particular developing countries, for early warning, risk reduction and management of national and global health risks"
371,414,0.257024515,3,3.1,"Table 5.2.1 – Key Health Indicators  20002005201020121Life expectancy at birth (years)66.165.367.468.1NHS, 2000; Medium Variant  Population Projection (NPP  Committee, 2011). 2Crude birth rate – CBR (per 1000 live births)34.12019.718.5NHS, 2000; PHCB, 2005; BLSS 20123Crude death rate – CDR (per 1000 persons8.677.88.5NHS, 2000; PHCB, 2005; BLSS 20124Total Fertility Rate (TFR)4.73.63.12.1NHS, 2000; PHCB, 2005; BLSS 20125Under five (U5) mortality rate (probability of  dying by age 5 per 1000 live births) 8461.569NANHS, 2000; PHCB, 2005; BMIS,  2010.6Infant mortality rate (probability of dying by age  1 per 1000 live births) 60.540.147NANHS, 2000; PHCB, 2005; BMIS,  2010.7Maternal mortality ratio (per 100,000 live  births) 255NANANANHS 2000; Source: Annual Health Bulletin 2012.  YearSl.# Indicators SourceLife expectancy and mortality  05  CENTRAL PLAN  31Tool used to screening draft policies before it is approved and health is one of the 22 variables  used for screening refer www.gnhc.gov.bt     Eleventh Five Year Plan   Main Document Volume I  Bhutan is on track to achieve MDG targets  related to child mortality, improving maternal  health and halting/reversing spread of TB  and malaria. The lack of progress on HIV/AIDS  remains a concern. The number of HIV/AIDS  detected cases has increased from 38 in 2000  to 321 in 2013","By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births "
372,414,0.257024515,3,3.1,"Table 5.2.1 – Key Health Indicators  20002005201020121Life expectancy at birth (years)66.165.367.468.1NHS, 2000; Medium Variant  Population Projection (NPP  Committee, 2011). 2Crude birth rate – CBR (per 1000 live births)34.12019.718.5NHS, 2000; PHCB, 2005; BLSS 20123Crude death rate – CDR (per 1000 persons8.677.88.5NHS, 2000; PHCB, 2005; BLSS 20124Total Fertility Rate (TFR)4.73.63.12.1NHS, 2000; PHCB, 2005; BLSS 20125Under five (U5) mortality rate (probability of  dying by age 5 per 1000 live births) 8461.569NANHS, 2000; PHCB, 2005; BMIS,  2010.6Infant mortality rate (probability of dying by age  1 per 1000 live births) 60.540.147NANHS, 2000; PHCB, 2005; BMIS,  2010.7Maternal mortality ratio (per 100,000 live  births) 255NANANANHS 2000; Source: Annual Health Bulletin 2012.  YearSl.# Indicators SourceLife expectancy and mortality  05  CENTRAL PLAN  31Tool used to screening draft policies before it is approved and health is one of the 22 variables  used for screening refer www.gnhc.gov.bt     Eleventh Five Year Plan   Main Document Volume I  Bhutan is on track to achieve MDG targets  related to child mortality, improving maternal  health and halting/reversing spread of TB  and malaria. The lack of progress on HIV/AIDS  remains a concern. The number of HIV/AIDS  detected cases has increased from 38 in 2000  to 321 in 2013","Strengthen the implementation of the World Health Organization Framework Convention on Tobacco Control in all countries, as appropriate "
373,415,0.089221843,3,3.12,"Health coverage is estimated at 90 percent.  Currently there are three health facilities for  every 10,000 persons. There are 31 hospitals,  14 BHU I, 178 BHU II and 550 outreach clinics  providing modern health services. There is one  Indigenous Hospital and 48 Indigenous Unit providing Sowa Rigpa services. The  total manpower in the health sector is 4,280, of which 194 are doctors, 736 nurses,  1,543 other category of health workers and 1,807 administrative and support staff","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States "
374,416,0.099364915,3,3.12,"The enactment of the University of Medical Sciences of Bhutan (UMSB) Act and its  establishment in 2012, is a major initiative of the Health Sector towards providing  in country professional medical education and, thereby, addressing the critical  shortage of health and allied professionals","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States "
375,417,0.114432227,3,3.7,The government health sector expenditure over the last ten years has averaged  Nu. 1.2 billion per annum with annual expenditure growth of 12.5 percent. The  government health expenditure as a percentage of GDP stands at 3.23 percent32.  The recurrent expenditure to GDP in the Eleventh Plan is projected to be around  0.56 percent. The expenditure in the health sector is expected to increase in the  coming years with the introduction of new technologies and services and growing  incidence of non communicable diseases for which the associated costs are much  greater than for conventional diseases. The Ministry of Health has started tracking  national spending and resource flow in health through the National Health Accounts  and other thematic studies to ensure sustainability of healthcare financing,"By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes "
376,418,0.148612645,3,3.8,"5.2.2 Key Challenges  Delivering Quality Health Care – The public expectation for quality health care is  viewed against the five star private hospitals. In addition, the easy availability of  un validated information from the net with the ever increasing literate population    32National Health Accounts 2009 10     Eleventh Five Year Plan   Main Document Volume I  is forcing the public health system to adapt to the latest medical technologies and  medical procedures. Such adaptations may not necessarily be cost effective and  efficient in service delivery","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all "
377,419,0.128761005,3,3.8,"On the other hand there are no standard health services package developed at  all levels of service delivery and standard operating procedures for most of the  services and procedures needs to be developed. In absence of such standards, it  is very difficult or near impossible to measure the quality of health care delivery","Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all "
378,420,0.176826409,3,3.12,"Health Human Resource: The Bhutanese Health System suffers from acute  shortage of all categories of health personnel. The training for most categories of  health workers and especially for doctors is long and expensive. In addition Bhutan  does not have training institutes for most categories of health workers. Even in the  region, there are few reputed health training institutes so limitation in availability  of slots is a challenge","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States "
379,421,0.087078374,3,3.12,Therefore we will continue to face health human resource shortage in the Eleventh  Plan even as we face the need to expand health services. Consolidation of health  infrastructure would therefore be a strategic area of focus,"Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States "
380,422,0.04733073,3,3.12,"With the increasing rate of urbanization, deployment of health personnel to  rural areas will become a new challenge. Workload, remuneration, and many  other workplace factors need to be looked beyond Civil Service norms otherwise  shortage of health human resource will become a major problem","Substantially increase health financing and the recruitment, development, training and retention of the health workforce in developing countries, especially in least developed countries and small island developing States "
