,targetNumber,targetText
913,913,Indicative Planning Figures - From the total outlay of Nu.
914,914,"213 billion, 71 percent is allocated to the central agencies and 29 percent to the local governments."
915,915,"The allocation projected for local governments does not include provisions for targeted poverty interventions programmes, capital investments plans for local government education sector and recurrent expenditure for Thromdes."
916,916,These have been budgeted under central agencies allocation.
917,917,28Increase in pay and allowance due to increase in the number of civil servants and the proposed pay and allowance revisions in the Eleventh Plan.
918,918,"In the Tenth Plan, civil service grew by about 4 percent annually and the same growth trend is projected."
919,919,M A C R O -E C O N O M IC S IT U AT IO N A N D O U TL O O K 03 104 Eleventh Five Year Plan - Main Document Volume I Table 3.13 Agency-wise Indicative Planning Figures (Nu.
920,920,In Millions) Agency-wise Expenditure Outlay (Nu.
921,921,"Agency Plan Outlay % of Total Current Capital Total A Constitutional Bodies 2,613.49 1,567.50 4,180.99 1.96% 1 Judiciary 1,247.99 623.00 1,870.99 0.87% 2 Royal Civil Service Commission 248.39 207.00 455.39 0.21% 3 Anti-Corruption Commission 237.53 93.50 331.03 0.15% 4 Election Commission 220.58 428.00 648.58 0.30% 5 Royal Audit Authority 659.01 216.00 875.01 0.41% B Autonomous Agencies 11,619.18 7,014.65 18,633.83 8.74% 1 His Majestys Secretariat 182.14 182.14 0.09% 2 Secretariat of His Majesty the Fourth King 135.06 135.06 0.06% 3 National Assembly of Bhutan 535.12 54.00 589.12 0.28% 4 National Council 355.36 330.00 685.36 0.32% 5 Royal Privy Council 83.89 83.89 0.04% 6 Council for Religious Affairs 2,983.26 379.00 3,362.26 1.57% 7 Cabinet Secretariat 179.61 23.00 202.61 0.09% 8 Office of the Attorney General 124.87 43.90 168.77 0.08% 9 Gross National Happiness Commis- sion 227.95 625.00 852.95 0.40% 10 National Land Commission 1,182.19 500.00 1,682.19 0.79% 11 National Environment Commission 183.94 374.00 557.94 0.26% 12 Dzongkhag Development Commission 88.34 63.00 151.34 0.07% 13 National Statistics Bureau 153.46 92.44 245.90 0.11% 14 Centre for Bhutan Studies 97.64 14.50 112.14 0.05% 15 Royal Institute of Management 280.94 273.00 553.94 0.26% 16 Royal University of Bhutan - 1,086.45 1,086.45 0.51% 17 Royal Education Council 181.43 292.00 473.43 0.22% 18 Bhutan Council for School Exam- ination & Assessment 404.01 50.00 454.01 0.21% 19 Royal Institute of Law & Bhutan National Legal Institute 32.80 589.50 622.30 0.29% 105 Eleventh Five Year Plan - Main Document Volume I 20 University of Medical Sciences of Bhutan 3,233.61 487.30 3,720.91 1.74% 21 Bhutan Narcotic Control Agency 87.94 45.00 132.94 0.06% 22 Drug Regulatory Authority 56.67 33.00 89.67 0.04% 23 Bhutan InfoComm & Media Authority 93.75 118.25 212.00 0.10% 24 Bhutan Standard Bureau 145.77 36.00 181.77 0.08% 25 National Commission for Women & Children 99.17 55.00 154.17 0.07% 26 Bhutan Olympic Committee 176.07 395.00 571.07 0.27% 27 Tourism Council of Bhutan 314.17 345.61 659.78 0.31% 28 Royal Institute of Tourism and Hospitality - 25.50 25.50 0.01% 29 JDWNR Hospital - 334.20 334.20 0.16% 30 Bhutan Broadcasting Service 340.00 340.00 0.16% 31 CSO Authority 10.00 10.00 0.00% C Ministries 70,429.50 55,657.19 126,086.69 59.11% 1 Ministry of Agriculture and Forest 8,786.88 4,856.00 13,642.88 6.40% 2 Ministry of Economic Affairs 1,626.42 6,782.06 8,408.48 3.94% 3 Ministry of Education 933.75 7,438.74 8,372.49 3.93% 4 Ministry of Finance 38,589.53 2,678.55 41,268.08 19.35% 5 Ministry of Foreign Services 3,287.34 320.00 3,607.34 1.69% 6 Ministry of Home & Cultural Affairs 8,076.18 3,702.00 11,778.18 5.52% 7 Ministry of Health 4,306.82 3,839.41 8,146.23 3.82% 8 Ministry of Information & Commu- nications 1,068.58 3,548.43 4,617.01 2.16% 9 Ministry of Labour and Human Resources 1,271.25 1,383.00 2,654.25 1.24% 10 Ministry of Works and Human Settlements 2,482.73 21,109.00 23,591.73 11.06% D Others (HRD and Exigencies) - 2,910.66 2,910.66 1.36% 1 Human Resource Development 2,000.00 2,000.00 0.94% 2 Other Capital (Vehicles, misc."
922,922,"exi- gencies etc) 910.66 910.66 0.43% E Total for Central Agencies 84,662.17 67,150.00 151,812.17 71.18% Total for Local Governments 36,629.32 24,850.00 61,479.32 28.82% 1 Dzongkhag and Gewogs 33,578.44 20,000.00 53,578.44 25.12% M A C R O -E C O N O M IC S IT U AT IO N A N D O U TL O O K 03 106 Eleventh Five Year Plan - Main Document Volume I 2 Thromdes 4,850.00 4,850.00 2.27% 3 Thromde Schools 3,050.88 3,050.88 1.43% Grand Total 121,291.49 92,000.00 213,291.49 100.00% Note: i) Recurrent budget of Thromdes provisioned under Ministry of Finance (CPE), ii) Educa- tion capital budget for local governments kept under Ministry of Education."
923,923,The recurrent expenditure and domestic revenue are expected to increase by about Nu.
924,924,Interest received on account of hydropower is recorded as revenue at the time of receipt by the Ministry of Finance and booked as current expenditure when the interest is repaid to the lender.
925,925,"When hydropower operations are included in the fiscal projections, domestic revenues are projected to increase by about 67 percent as compared to 55 percent when hydropower is excluded, thereby inflating the level of revenue projections."
926,926,Similar increases in recurrent expenditure and the total expenditure are projected.
927,927,"With recoveries from hydropower projects exceeding lending, the net lending projections present a favourable fiscal space with a fiscal deficit of just Nu."
928,928,112 million against a projection of Nu.
929,929,"15 billion without hydropower operations, creating artificial fiscal space."
930,930,Inclusion of hydropower debt servicing obligations presents a more favourable fiscal outlook as the fiscal deficit falls.
931,931,"The main implications here are that overall, the debt stock composition will change with INR debt being replaced by concessional borrowings."
932,932,107 Eleventh Five Year Plan - Main Document Volume I Table 3.15 Fiscal Projections (with Hydropower debt servicing) in Nu.
933,933,"Millions 10th Plan Outcome 11th Plan Projections Variance Resources 149,945.60 209,328.14 40% Domestic Revenue 89,990.30 150,689.44 67% Grants 51,960.10 58,638.70 13% Expenditure Outlay 152,657.60 209,440.29 37% Total Expenditure 148,652.40 224,164.59 51% Current 74,298.20 132,164.59 78% Capital 74,354.20 92,000.00 24% Net Lending 4,719.70 (14,724.30) Fiscal Balance (2,712.00) (112.15) As % of GDP (0.50) -0.20% Net Borrowing (5,185.90) 1,895.05 Borrowings 11,988.10 21,493.15 Repayments 17,174.00 19,598.09 Resource Gap (7,897.90) 1,782.90 As % of GDP (1.80) 0.36% Note: 10th Plan Resource total does not add up as Other Receipts figure not shown, similarly, expenditure outlay figures does not add up as Other Payments and Advances/Suspense (Net) not shown."
934,934,3.2.5 Public Debt Stock The total public debt stock is expected to increase from Nu.
935,935,"110 billion in 2013/14 to Nu.259 billion in 2017/18, an increase of about 135 percent, by the end of the Plan."
936,936,Public debt stock is comprised of 99 percent external borrowings and 1 percent domestic borrowings.
937,937,"Hydro-power debt is expected to account for 80 percent of the total public debt stock, most of which is denominated in INR."
938,938,The borrowings for hydro-power projects are estimated to increase by 184 percent from Nu.
939,939,Non-hydro borrowings are projected to increase by 36 percent from Nu.
940,940,"50 billion, and mainly used for critical infrastructure investments projects in roads, electrification, urban development and agriculture sectors."
941,941,"While Bhutans debt has been increasing substantially and is expected to be M A C R O -E C O N O M IC S IT U AT IO N A N D O U TL O O K 03 108 Eleventh Five Year Plan - Main Document Volume I 121 percent of GDP by the end of the Plan, the governments ability to repay its obligation has also been improving."
942,942,"Despite the high level of public debt stock and associated debt indictors, Bhutan debt stock may be classified as sustainable since 80 percent of the debt are for self-liquidating hydro-power projects."
943,943,The public debt stock projections for the Eleventh Plan are as follows: Table 3.14 - Public Debt Projections (Nu.
944,944,"In millions) 2013/14 2014/15 2015/16 2016/17 2017/18 Total Debt (DOD) 110,505.00 143,337.35 179,839.92 220,330.85 259,290.47 Domestic Debt 554.48 786.92 2,204.71 2,204.71 2,204.71 External Debt 109,950.52 142,550.43 177,635.21 218,126.15 257,085.77 Hydro Debt 72,827.93 96,410.95 127,824.92 167,540.50 206,492.53 Non-Hydro Debt 37,122.59 46,139.48 49,810.29 50,585.65 50,593.24 CC debt (US $ millions) 662.02 775.76 819.22 868.40 920.86 Rupee debt (millions INR) 71,252.49 93,335.79 123,268.67 157,840.27 190,212.79 Total Debt Service (bud- getary) 4,488.92 4,967.58 5,256.90 5,190.89 14,602.86 Interest payments 1,968.10 2,094.70 2,051.73 2,246.05 6,785.75 Principal payment 2,520.82 2,872.88 3,205.17 2,944.84 7,817.10 Debt Service Ratio 31.97 10.94 10.15 11.54 17.61 Nominal GDP (Nu."
945,945,"in mill) 113,892.90 127,416.60 143,081.49 171,627.13 213,017.32 (As a Percentage of Nominal GDP) Total Debt 97.03 112.5 125.69 128.38 121.72 Domestic Debt 0.49 0.62 1.54 1.28 1.03 External Debt 96.54 111.88 124.15 127.09 120.69 Hydro Debt 63.94 75.67 89.34 97.62 96.94 Non-Hydro Debt 32.59 36.21 34.81 29.47 23.75 CC Debt 35.02 34.33 30.23 27.36 25.79 INR Debt 62.56 73.25 86.15 91.97 89.29 Source: MTFF (July 2013) 109 Eleventh Five Year Plan - Main Document Volume I ELEVENTH PLAN CHAPTER 4 110 Eleventh Five Year Plan - Main Document Volume I 111 Eleventh Five Year Plan - Main Document Volume I 4.1 Eleventh Plan Objective With the long term vision of GNH in sight, the government shall in the Eleventh Plan focus on Self Reliance and Inclusive Green Socio-economic Development."
946,946,The rationale for such an aspiration is motivated by an understanding of Bhutans current situation and priorities and its alignment to the GNH based development path.
947,947,"The first element of self-reliance is crucial in many dimensions: First, our economy while achieving robust growth rates over the last decade is still import driven, has a narrow tax base that is largely dependent on hydropower revenues and low levels of productive employment though the overall unemployment rates reported is commendable."
948,948,"Secondly, with the improved socio-economic indicators, some of our traditional development partners have already indicated their desire to phase out development assistance from Bhutan."
949,949,"Hence the urgency to pursue the self-reliance objective that transforms our economy to a more diversified economy that creates productive employment opportunities, ensures a broader tax base and provides an enabling environment for private sector development."
950,950,The second element of Inclusive Development refers to reducing poverty and inequality by enhancing the standard of living and the quality of life of the most vulnerable sections of our society.
951,951,"While our poverty and social indicators report significant progress, disparities exist within regions, area of residence and gender."
952,952,The Eleventh Plan will ensure inclusiveness by targeting the disadvantaged and vulnerable sections of our population so that all sections of our population enjoy the benefits of socio-economic development.
953,953,"As in the past plans, an important cross cutting principle shall be the continued adoption of rigorous environmental standards in the pursuit of our development objectives."
954,954,Hence the plan shall ensure the mainstreaming and incorporation of Green or Carbon Neutral strategies in all our activities.
955,955,4.2 National Key Result Areas (NKRAs)/Key Performance Indicators (KPIs) National Key Result Areas (NKRAs) are outcomes at the national level that the government needs to achieve over the next five years in order to realize the Eleventh Plan objective of Self Reliance and Inclusive Green Socio-Economic Development.
956,956,EL EV EN TH P LA N 04 112 Eleventh Five Year Plan - Main Document Volume I Sixteen NKRAs have been identified based on the four pillars of GNH.
957,957,"All central agencies and local governments contribute towards delivery of the 16 NKRAs through their respective Sector Key Result Areas (SKRAs), and Dzongkhag Key Result Areas (DKRAs)."
958,958,"The performance is monitored through clear measurable Key Performance Indicators (KPIs) at the national, sector and local government levels."
959,959,"4.2.1 Sustainable and equitable socio-economic development The key result areas under this pillar are sustained economic growth, reduce poverty and achieve MDG Plus targets, food secure and sustained and ensure full employment."
960,960,The KPIs are as follows: Table 4.1 - NKRAs under Sustainable and equitable socio-economic development GNH Pillars National Key Result Areas Key Performance Indicators Baseline Target Annual average GDP growth 8-9 % >10% Percentage of domestic financing to total expenditure 65% >85% Annual average fiscal deficit over plan period 0.3% <3 % Consumer Price Index 8.37% 7-8% Priority sector lending TBD TBD Exports (without electricity) Nu.
961,961,"In billions 15 (2012) >28 (2017-18) Income poverty reduced 12 % (2012) <5 % Multidimensional poverty reduced 25.8% (2010) < 10 % Gini Coefficient reduced 0.36 (2012) <0.3 IMR per 1000 live births 47 <20 MMR per 100,000 live births 255 <100 U5 MR per 1000 live birth 69 <30 Percentage of rural pop with access to improved drinking water supply (%) 94.1% near 100% Percentage of rural pop with access to improved sanitation (%) 51 >80 Malaria incidence per 10,000 population 10 <3.5 TB treatment success rate 90% >90% Severe mental distress (GNH Index 2010) 5% <5 % Adjusted Primary Net Enrolment Ratio (6-12 yrs old) i) APNER = 98% (M 97% & F 98%) ii) NER 96% (M 95 & F 96) i) APNER 100%-M/F ii) NER 98% - M/F Basic Net Enrolment Ratio (13-16yrs old) 94% (F 96% & M 93%) >96% (M/F) Ratio of females to males in tertiary education 71.00% >90% GER at tertiary level (19-23yrs) M/F 18% >35% % of people with adequate housing quality sustained (corrugated galvanized iron (CGI) or concrete brick or stone for roofing, pit latrine with septic tank for toilet and two persons per room for overcrowding) - GNH Index 2010 74.20% >74.2% % of Household with per capita income per person per month of 1.5*Nu."
962,962,"Food secure and sustained 113 Eleventh Five Year Plan - Main Document Volume I The KPIs for NKRA 1 - Sustained Economic Growth are as follows: i) Annual average GDP growth rate sustained - over the five year period the target is to achieve growth rate of 10 percent or more from about 8 percent in 2012; ii) Percentage of domestic financing to total expenditure enhanced Currently, about 60 to 65 percent of the total expenditure is funded through domestic revenues."
963,963,"The present Eleventh Plan fiscal projections indicate coverage of about 75 percent in 2017-18, with expenditure projections of Nu."
964,964,60 billion against domestic revenue projections of Nu.
965,965,"For additional 10 percent, efforts to enhance domestic revenue or rationalize expenditures (particularly recurrent) will be necessary."
966,966,"iii) Annual average fiscal deficit over the plan period sustained In the past plans, the annual average fiscal deficit of 5-6 percent of GDP was projected."
967,967,"In the Tenth Plan, fiscal deficit of Nu."
968,968,15.193 billion or 6.76 percent of GDP was projected against which the actual outcome was an average of 0.3 percent of GDP over a five year period.
969,969,"In the Eleventh Plan, average fiscal deficit of less than 3 percent of GDP is projected considering the present economic situation and to avoid crowding out of private sector borrowings from domestic financial institutions."
970,970,"iv) Consumer Price Index sustained inflation, measured in terms of consumer price index, is targeted to be maintained around 7-8 percent over the Eleventh Plan period."
971,971,v) Priority sector lending enhanced This KPI was identified to ensure lending to productive sectors.
972,972,The target will be decided based on the priority sectors to be identified by the government.
973,973,vi) Exports without electricity increased Exports without electricity will be tracked to enhance economic diversification.
974,974,"Accordingly, the target is to double exports without electricity from Nu."
975,975,"EL EV EN TH P LA N 04 114 Eleventh Five Year Plan - Main Document Volume I The KPIs for NKRA 2 Poverty Reduced and MDG Plus Achieved are as follows: i) Income poverty reduced The income poverty will be reduced from 12 percent in 2012 to less than 5 percent by 2017-18. ii) Multidimensional poverty reduced With data on multidimensional poverty now being available, poverty reduction will also be tracked on multidimensional basis (health, education and living standards)."
976,976,The target will be to reduce multidimensional poverty from 25.8 percent to less than 10 percent by 2018. iii) Gini-coefficient reduced - will be used to monitor inequalities.
977,977,"Even the most equal countries like Norway, Denmark, Sweden and Finland have a Gini coefficient of about 0.24 to 0.26. iv) MDG Plus achieved indicators are for the health and education sectors."
978,978,"In the area of health, the targets are to significantly reduce infant mortality rate, under five mortality rate, maternal mortality rates, incidence of tuberculosis and malaria and improve coverage of clean drinking water and improved sanitation."
979,979,"In the education sector, the main focus will be to ensure gender parity at tertiary levels, as Bhutan has already achieved the target for gender parity at primary and secondary school levels."
980,980,The target set is at least 90 percent from the current 71 percent female to male in tertiary education.
981,981,"In terms of school enrollment rates the target is to achieve close to 100 percent by 2018. v) In addition to the above KPIs, poverty reduction will also be assessed based on the GNH Index."
982,982,The quality of housing and household per capita income reported by the GNH Index will be tracked.
983,983,"Disaggregated targets for production of rice, maize, wheat etc are kept under RNR Sectors key result areas."
984,984,ii) Milk sufficiency enhanced The target is to increase from 90 percent in 2011 to 100 percent sufficiency.
985,985,"115 Eleventh Five Year Plan - Main Document Volume I iii) Stunting reduced The Bhutan Multiple Indicator Survey 2010 reports prevalence of moderate and severe stunting among 33.5 percent of the children under five, a reflection of chronic malnutrition."
986,986,"The critical window for a childs optimal physical and mental growth and development is the first 33 months, from the time it is in its mothers womb (9 months) and till it reaches two years of life."
987,987,"Thereafter, it is irreversible and stunted children grow up to be stunted adults with reduced physical and cognitive capacity."
988,988,"This could lead to poor health, impaired educational attainment, reduced work productivity and lower wage earning potential throughout ones life."
989,989,"The causes for chronic malnutrition are many and complex, therefore multi- sectoral coordinated efforts will be vital to address the issue, particularly that of the Ministries of Agriculture and Forest, Health, and Education."
990,990,The KPIs for NKRA 4 Full Employment are as follows: i) Full employment achieved - The target is to ensure full employment defined as employment of 97.5 percent or unemployment of 2.5 percent.
991,991,The baseline is higher than the plan target as unemployment in 2012 was 2.1 percent below the definition of full employment.
992,992,The target is to ensure full employment to youth or reduce youth unemployment from 7.3 percent in 2012 to 2.5 percent by 2018. iii) Percentage of regular paid employee increased - Labour Force Survey 2012 reports that only 23.9 percent of those employed fall under the regular paid employee status.
993,993,"Further, females under this category are much lower at 6.1 percent as compared to males (17.8 percent)."
994,994,The target is to increase the proportion of regular paid employees to about 40 percent.
995,995,"This is an ambitious target but needs to be pursued to ensure income, social security and gender equality."
996,996,iv) Long term/chronic unemployment reduced long term or chronic unemployment is normally defined as unemployment lasting for longer EL EV EN TH P LA N 04 116 Eleventh Five Year Plan - Main Document Volume I than one year (EU Statistics) or 27 months (United States Bureau of Labor Statistics).
997,997,"In Bhutan, some of the unemployed choose to remain voluntary unemployed, particularly youth, till they get the job of their choice due to strong social support of family and relatives."
998,998,"Therefore, the target is to track those actively looking for work but have remained unemployed over a longer period of time."
999,999,"However, due to lack of data the target is yet to be decided."
1000,1000,Data on chronic unemployment will be collected and tracked during the Eleventh Plan.
1001,1001,"4.2.2 Preservation and promotion of culture The key result areas under this pillar are strengthened Bhutanese identity, social cohesion and harmony and indigenous wisdom, arts and crafts promoted for sustainable livelihoods."
1002,1002,The KPIs are as follows: Table 4.2 - NKRAs under Preservation and Promotion of Culture GNH Pillars National Key Result Areas Key Performance Indicators Baseline Target Cultural diversity & resilience Index sustained (GNH 2010 Index) 0.074/0.11 0.074/0.11 Community Vitality Index sustained (GNH 2010 Index) 0.088/0.11 0.088/0.11 GNH Index 2010 sustained 0.743 >0.743 No.
1003,1003,of rural households engaged in cultural industries 208 2000 No.
1004,1004,"Indigenous wisdom, arts and crafts promoted for sustainable livelihood The KPIs for NKRA 5 Strengthened Bhutan Identity, Social Cohesion and Harmony are the following 3 GNH Index KPIs: i) Cultural diversity & resilience Index sustained covers cultural participation, artistic skills, native language and Driglam Namzha."
1005,1005,The target is to sustain sufficiency at 0.074 or more from maximum score of 0.11 (1/9 as all nine domains are weighted).
1006,1006,"ii) Community Vitality Index sustained includes donation, community relationship, family relationship and safety."
1007,1007,The target is to sustain at 0.088 or more from maximum score of 0.11 (1/9 as all nine domains are weighted).
1008,1008,iii) GNH Index 2010 sustained the target is to sustain GNH Index at 0.743 or more.
1009,1009,"4.2.3 Conservation and sustainable utilization of environment The key result areas under this pillar are carbon neutral, green & climate resilient development, sustainable utilization and management of natural resources, water security and improved disaster resilience and management mainstreamed."
1010,1010,Ambient Air Quality Standards revised as per national circumstances.
1011,1011,Perception of Ecological issues (GNH Index) sustained 69% 69% Proportion of forest area under sustainable forest management 6.60% >12% Ecological footprint N/A Study to establish baseline & targets conducted.
1012,1012,"Population Status of umbrella species (Tiger) 155 >155 24 hour availability of drinking water N/A 100% Ambient Water quality maintained within national standards Ambient Water Quality Standards 2010 Ambient Water Quality Standards revised to include new parameters of total hardness, grease and oil."
1013,1013,"Long term mean annual flow of the entire country 73,000 million m3 73,000 million m3 No of disaster response teams trained and equipped in DM."
1014,1014,1 (NaSRT) 20 Dongkhags Response time (no.
1015,1015,Sustainable utilization and management of Natural Resource The KPIs for NKRA 7 Carbon Neutral/Green & Climate Resilient Development are as follows: i) Green House Gas Emission controlled the baseline of 1559.65 Gg Co is based on 2000 status.
1016,1016,"The target is to maintain GHG less than 6,309.6 Gg Co. EL EV EN TH P LA N 04 118 Eleventh Five Year Plan - Main Document Volume I ii) Ambient air quality maintained The baseline is the 2010 national standard."
1017,1017,"The target is to revise ambient air quality standard to include new parameters PM 2.5, Ozone and CO. iii) Perception of ecological issues (GNH Index) sustained 2010 GNH survey reports that 69 percent of those surveyed did not see pollution as a major concern."
1018,1018,The target is to sustain or increase the perception.
1019,1019,The KPIs for NKRA 8 Sustainable Utilization and Management of Natural Resources are as follows: i) Proportion of forest area under sustainable forest management increased target is to increase from 6.6 percent to 12 percent by end of the plan period.
1020,1020,"ii) Ecological footprint sustained is an accounting tool that measures how much biologically productive land and sea is used by a given population or activity, and compares this to how much land and sea is available."
1021,1021,The target over the next five years is to conduct a study to establish a baseline and target for the future.
1022,1022,iii) Population Status of umbrella species (Tiger) maintained The richness of prey species determines the health of ecosystem.
1023,1023,The umbrella species used is tiger population and the target is to maintain 155 numbers.
1024,1024,Water has been given special focus in the Eleventh Plan in view of its importance for the basic survival of all living beings and for our hydroelectric projects and agriculture.
1025,1025,"However, shortage of drinking water is a major problem in many Dzongkhags and towns."
1026,1026,The National Environment Commission is conducting the first ever water resource inventory in the country to assess the state of water availability and water sources.
1027,1027,The findings from the assessment will be incorporated and the KPIs for water security updated in the course the Plan.
1028,1028,119 Eleventh Five Year Plan - Main Document Volume I The performance under NKRA 9 Water Security will be assessed through the following 3 KPIs.
1029,1029,i) 24 hour availability of drinking water ensured The target is to ensure all settlements have 100 percent water supply 24 hours a day.
1030,1030,ii) Ambient Water quality maintained The baseline is 2010 national standards.
1031,1031,"Currently, besides dissolved oxygen, other parameters of pH, Total Suspended Solids (TSS), Conductivity, Biochemical Oxygen Demand (BOD), T. Coliform, F. Coliform, Lead, Arsenic and copper are also tested in the lab to monitor the quality of water."
1032,1032,"The target is to increase parameters of total hardness, ammonia and oil grease, which are very important for monitoring industries and automobile workshops."
1033,1033,"iii) Long term mean annual flow of the entire country sustained Based on studies carried out in 2002 by the Department of Energy and NorConsult for preparation of Water Resources Management Plan the long term mean annual flow of the entire country was estimated to be 73,000 million m. The target is to maintain mean annual flow and be a reflection of our efforts particularly in watershed management."
1034,1034,The KPIs for NKRA 10 Improved Disaster Resilience and Management Mainstreamed are as follows: i) Number of disaster response teams trained and equipped in Disaster Management increased - Currently there is one national search and rescue team (NaSRT) the target is to institute one search and rescue team in all 20 Dzongkhags.
1035,1035,ii) Response time enhanced (number of hours within which emergency response time reaches site of disaster) the target is to respond within 2 hours of disaster.
1036,1036,"4.2.4 Good Governance The key result areas under this pillar are improved public service delivery, democracy and governance strengthened, gender friendly environment for womens participation, corruption reduced, safe society and the needs of vulnerable groups addressed."
1037,1037,"The KPIs are as follows: EL EV EN TH P LA N 04 120 Eleventh Five Year Plan - Main Document Volume I Table 4.4 - NKRAs under Good Governance GNH Pillars National Key Result Areas Key Performance Indicators Baseline Target Avg Service Delivery TAT reduced for all G2C, G2B and G2G services <70% Average performance rating of government agencies >90 % >90 % Political Participation (GNH 2010 Index) 56.40% >70% % of functional Community based groups (Water User Groups, Road Maintenance Communities) na >90% No."
1038,1038,Democracy and Governance strengthened Baseline and targets established.
1039,1039,"Improved public service delivery The KPIs for NKRA 11 Improved Public Service Delivery are as follows: i) Average Service Delivery Turn-Around Time (TAT) reduced for all G2C, G2B and G2G services the target is to reduce the turnaround time for Government to Citizen, Government to Business and Government of Government services by 70 percent."
1040,1040,Use of mobile technology where feasible will be adopted.
1041,1041,ii) Average performance rating of government agencies enhanced the target is to ensure all central and local government performance is greater than 90 percent.
1042,1042,The Government Performance Management System (GPMS) will be introduced to measure government performance.
1043,1043,The KPIs for NKRA 12 Democracy and Governance Strengthened are as follows: i) Political participation sustained This indicator is adopted from the GNH Index.
1044,1044,The target is to achieve at least 70 percent or more.
1045,1045,"The questions related to this indicator during the 2010 GNH Survey were whether individuals would vote in the upcoming general elections, and participation in at least one Zomdue."
1046,1046,ii) Percentage of functional community based groups maintained A 121 Eleventh Five Year Plan - Main Document Volume I functional and active community groups such as the water user groups and road maintenance communities are effective means of strengthening democracy and governance at community levels.
1047,1047,The target is to ensure that 90 percent of such groups are functional and effective at community levels.
1048,1048,iii) Number of functional registered CSOs ensured the target is kept at 100 percent to ensure all registered CSOs are functional and active.
1049,1049,iv) Voter turnout sustained the baseline is based on 2013 parliamentary elections and for local government 2011 elections.
1050,1050,The target is to ensure at least 70 percent voter turnout.
1051,1051,The KPIs for NKRA 13 Gender Friendly Environment for Womens Participation are as follows: i) Draft legislation to ensure quota for women in elected offices including the parliament and local government bodies the target is to draft legislation and present it to the Parliament.
1052,1052,ii) Ratio of female to male in tertiary education increased The target is to increase ratio of females to males in tertiary education from 71 percent to at least 90 percent by 2017-18. iii) Female youth unemployment reduced the target is to ensure full female youth employment of 97.5 percent or reduce female unemployment from 7.2 percent to less than 2.5 percent.
1053,1053,iv) Agencies with gender sensitive policies/gender mainstreaming strategies increased the target is to ensure that at least 20 percent of the agencies implement gender sensitive policies and adopt gender mainstreaming strategies.
1054,1054,The KPIs for NKRA 14 Corruption Reduced are as follows: i) Corruption Perception Index improved (Transparency International) the target is to improve Bhutans ranking of 33 out of 176 countries in 2012 to top 20. ii) Number of agencies reporting on implementation of anti corruption strategy all agencies.
1055,1055,"EL EV EN TH P LA N 04 122 Eleventh Five Year Plan - Main Document Volume I The KPIs for NKRA 15 Safe Society are as follows: i) Nationwide reported crime (annually) by category, age group and gender reduced currently crime reported is 7 per 1,000 population, the target is to bring it down to 5 per 1,000 population."
1056,1056,The target is to sustain at 81 percent or more.
1057,1057,The KPIs for NKRA 16 Needs of Vulnerable Group Addressed are as follows: i) Establishment of baselines and targets for emerging issues Carry out a comprehensive study to determine baselines and targets for emerging issues.
1058,1058,"Currently, there is no agency within the government catering to the needs of the small but growing numbers of vulnerable people."
1059,1059,"Therefore, the government will be partnering closely with relevant CSOs to realize this national key result area."
1060,1060,"The 16 NKRAs have been formulated based on the four pillars of GNH to ensure that development is holistic and sustainable and other important aspects of development such as our cultural, environment and good governance are not compromised in pursuit social and economic development."
1061,1061,"Therefore, cross- cutting issues like gender, environment, disaster management, climate resilient development, poverty, culture and governance have all been identified as national key result areas in the Eleventh Plan."
1062,1062,"4.3 Sector and Dzongkhag Key Result Areas (SKRAs/DKRAs)/ Key Performance Indicators (KPIs) To achieve the 16 NKRAs, Sector Key Result Areas (SKRAs) and Dzongkhag Key Result Areas (DKRAs) with their respective KPIs have been defined for each sector and Dzongkhag."
1063,1063,These have also been formulated based on the four pillars of GNH to ensure that all sectors contribute towards strengthening them.
1064,1064,"The SKRAs, DKRAs and their KPIs, will be the basis for monitoring the performance of various sectors and local governments in the Eleventh Plan."
1065,1065,They are discussed in detail under Chapters 5 and 6 on sector and local government plans respectively.
1066,1066,"123 Eleventh Five Year Plan - Main Document Volume I 4.4 Strategic Thrust Areas Towards achieving the NKRAs and KPIs, the main strategic thrust will be on i) inclusive social development, ii) accelerated green economic development and iii) strategic infrastructure development."
1067,1067,"4.4.1 Inclusive Social Development While at the national level our poverty and social indicators have improved significantly, disparities exist among Dzongkhags, Gewogs, gender and area of residence."
1068,1068,"To ensure regional balance and equity, inclusive social development has been identified as one of the thrust areas."
1069,1069,"The main focus of this thrust area will be to further reduce poverty both in terms of income and multidimensional poverty, address emerging social issues (issues related to the elderly, youth, single parents, differently-abled persons, safety etc."
1070,1070,"), and improving social outcomes."
1071,1071,"The key performance indicators for this thrust area are Poverty Reduction and Millennium Development Goals Plus (MDG +), with targets comparable to those of developed countries."
1072,1072,Other indicators include income poverty and multidimensional poverty reduction targets; gini-coefficient target to measure inequalities and improved health and education targets.
1073,1073,"The targets, wherever feasible and relevant, will be monitored at disaggregated levels (such as by region, area of residence, and gender) to ensure inclusiveness."
1074,1074,Ensuring inclusive development requires that we overcome weaknesses in our current broad based national level programmes that often miss out the most vulnerable and isolated sections of our population.
1075,1075,"As such, the key programmes for inclusive social development are: Rural Economy Advancement Programme (REAP) seeks to target extreme poverty in rural areas by identifying the poorest and remote villages, which will otherwise not be addressed through broad-based development programmes."
